Model,Metric,Base,Improved,Improvement (%)
Random Forest,Accuracy,0.8844,0.8889,0.4444
Random Forest,Precision,0.8904,0.8961,0.5774
Random Forest,Recall,0.8633,0.8668,0.3505
Random Forest,F1,0.8766,0.8812,0.4604
Random Forest,ROC-AUC,0.9548,0.9566,0.1824
Gradient Boosting,Accuracy,0.8883,0.8894,0.1111
Gradient Boosting,Precision,0.8951,0.8991,0.4095
Gradient Boosting,Recall,0.8668,0.8645,-0.2336
Gradient Boosting,F1,0.8807,0.8815,0.0765
Gradient Boosting,ROC-AUC,0.9589,0.96,0.115
AdaBoost,Accuracy,0.8856,0.8883,0.2778
AdaBoost,Precision,0.8897,0.8857,-0.394
AdaBoost,Recall,0.8668,0.8785,1.1682
AdaBoost,F1,0.8781,0.8821,0.4005
AdaBoost,ROC-AUC,0.9501,0.9544,0.4286
